Time ,CWND1,CWND3
4.56463,110147,110147
4.56542,109678,109678
4.56601,109406,109406
4.56679,109209,109209
4.56758,108937,108937
4.56817,108665,108665
4.56896,108468,108468
4.56974,108196,108196
4.57112,107924,107924
4.57191,107454,107454
4.5725,107182,107182
4.57328,106985,106985
4.57407,106713,106713
4.57466,106441,106441
4.57545,106244,106244
4.57623,105972,105972
4.57761,105700,105700
4.57839,105231,105231
4.57898,104959,104959
4.57977,104762,104762
4.58056,104490,104490
4.58115,104217,104217
4.58193,104020,104020
4.58272,103748,103748
4.5841,103476,103476
4.58488,103007,103007
4.58547,102735,102735
4.58626,102538,102538
4.58705,102266,102266
4.58763,101994,101994
4.58842,101797,101797
4.58921,101525,101525
4.59058,101253,101253
4.59137,100783,100783
4.59196,100511,100511
4.59275,100314,100314
4.59353,100042,100042
4.59412,99770,99770
4.59491,99573,99573
4.5957,99301,99301
4.59707,99029,99029
4.59786,98560,98560
4.59845,98288,98288
4.59923,98091,98091
4.60002,97819,97819
4.60061,97547,97547
4.6014,97350,97350
4.60218,97077,97077
4.60356,96805,96805
4.60435,96336,96336
4.60494,96064,96064
4.60572,95867,95867
4.60651,95595,95595
4.6071,95323,95323
4.60789,95126,95126
4.60867,94854,94854
4.61005,94582,94582
4.61083,93480,93480
4.61142,92944,92944
4.61221,92556,92556
4.613,92020,92020
4.61359,91484,91484
4.61437,91096,91096
4.61516,90560,90560
4.61575,90024,90024
4.61654,89636,89636
4.61732,89100,89100
4.61791,88564,88564
4.6187,88176,88176
4.61949,87640,87640
4.62007,87104,87104
4.62086,86716,86716
4.62165,86180,86180
4.62224,85644,85644
4.62302,85256,85256
4.62381,84720,84720
4.6244,84184,84184
4.62519,83796,83796
4.62597,83260,83260
4.62656,82724,82724
4.62735,82336,82336
4.62814,81800,81800
4.62873,81264,81264
4.62951,80876,80876
4.6303,80340,80340
4.63089,79804,79804
4.63167,79416,79416
4.63246,78880,78880
4.63305,78344,78344
4.63384,77956,77956
4.63462,77420,77420
4.63521,76884,76884
4.636,76496,76496
4.63679,75960,75960
4.63738,75424,75424
4.63816,75036,75036
4.63895,74500,74500
4.63954,73964,73964
4.64033,73576,73576
4.64111,73040,73040
4.6417,72504,72504
4.64249,72116,72116
4.64327,71580,71580
4.64386,71044,71044
4.64465,70656,70656
4.64544,70120,70120
4.64603,69584,69584
4.64681,69196,69196
4.6476,68660,68660
4.64819,68124,68124
4.64898,67736,67736
4.64976,67200,67200
4.65035,66664,66664
4.65114,66276,66276
4.65193,65740,65740
4.65251,65204,65204
4.6533,64816,64816
4.65409,64280,64280
4.65468,63972,63972
4.65546,63744,63744
4.65841,63356,63356
4.66058,62968,62968
4.66274,62580,62580
4.6649,62192,62192
4.66706,61804,61804
4.66924,61416,61416
4.6714,61028,61028
4.67356,60640,60640
4.67573,60252,60252
4.67789,59864,59864
4.68005,59476,59476
4.68221,59088,59088
4.68438,58700,58700
4.68654,58312,58312
4.6887,57924,57924
4.69087,57536,57536
4.69303,57148,57148
4.69519,56760,56760
4.69735,56372,56372
4.70011,55984,55984
4.70166,55448,55448
4.70166,63972,63972
4.92373,63976,63976
4.92511,63980,63980
4.92648,63984,63984
4.92806,63988,63988
4.92943,63992,63992
4.93081,63996,63996
4.93238,64000,64000
4.93376,64004,64004
4.93513,64008,64008
4.93671,64012,64012
4.93808,64016,64016
4.93946,64020,64020
4.94103,64024,64024
4.94241,64028,64028
4.94378,64032,64032
4.94536,64036,64036
4.94673,64040,64040
4.94811,64044,64044
4.94968,64048,64048
4.95106,64052,64052
4.95244,64056,64056
4.95401,64060,64060
4.95538,64064,64064
4.95676,64068,64068
4.95833,64072,64072
4.95971,64076,64076
4.96109,64080,64080
4.96266,64084,64084
4.96404,64088,64088
4.96541,64092,64092
4.96698,64096,64096
4.96836,64100,64100
4.96974,64104,64104
4.97131,64108,64108
4.97269,64112,64112
4.97406,64116,64116
4.97564,64120,64120
4.97701,64124,64124
4.97839,64128,64128
4.97996,64132,64132
4.98134,64136,64136
4.98271,64140,64140
4.98429,64144,64144
